첨부파일	Lab 일련번호	분류	도포 날짜	원단	점착제	경화제	첨가제	도포량	작업자	점착력	가열압착	내열성	내후성	내습성	야외폭로	가공/유지력	절곡	레이저컷팅	내충격성	비고
25-05-22_453,1824-1826_유지력(10cm to 11cm)_0min..pdf;25-05-22_453,1824-1826_유지력(10cm to 11cm)_120min..pdf;25-05-22_453,1824-1826_유지력(10cm to 11cm)_20min..pdf;25-05-22_453,1824-1826_유지력(10cm to 11cm)_60min..pdf	1824	가공용(SGO453대체)1788+tsr5903 5%+sv02 2%	2025-5-21 0:00:00	(T45)	919	(CX100/0.6%)(SV02/2.0%)	(TSR5903/5%)	(2.0)(#8)	이민지	(195,193)*(초/90/BA)(171)*(초/180/453)	(>236)*(가/90/BA),(212)*(가/180/453)		(7일양호)*(BA)			1	0	0	0	
	1825	가공용(SGO453대체)1788+cx100 1.2%+tsr5903 5%+sv02 2%	2025-5-21 0:00:00	(T45)	919	(CX100/1.2%)(SV02/2.0%)	(TSR5903/5%)	(2.0)(#8)	이민지	(179,172)*(초/90/BA)(136)*(초/180/453)	(>229)*(가/90/BA),(190)*(가/180/453)		(7일양호)*(BA)			1	0	0	0	
25-05-22_453,1824-1826_유지력(10cm to 11cm)_0min..pdf;25-05-22_453,1824-1826_유지력(10cm to 11cm)_120min..pdf;25-05-22_453,1824-1826_유지력(10cm to 11cm)_20min..pdf;25-05-22_453,1824-1826_유지력(10cm to 11cm)_60min..pdf	1826	가공용(SGO453대체)1788+cx100 2.0%+tsr5903 5%+sv02 2%	2025-5-21 0:00:00	(T45)	919	(CX100/2.0%)(SV02/2.0%)	(TSR5903/5%)	(2.0)(#8)	이민지	(159,152)*(초/90/BA)(126)*(초/180/453)	(>253)*(가/90/BA),(196)*(가/180/453)		(7일양호)*(BA)			1	0	0	0	
25-05-23_SGO453,1827,1828_내후(BA)_7일 탈리.pdf;25-05-23_SGO453,1827-1829_유지력(10cm to 11cm)_0min..pdf;25-05-23_SGO453,1827-1829_유지력(10cm to 11cm)_120min..pdf;25-05-23_SGO453,1827-1829_유지력(10cm to 11cm)_20min..pdf;25-05-23_SGO453,1827-1829_유지력(10cm to 11cm)_60min..pdf	1827	가공용(SGO453대체)1825+tsr5903 10%	2025-5-22 0:00:00	(T45)	919	(CX100/1.2%)(SV02/2.0%)	(TSR5903/10%)	(2.0)(#8)	이민지	(198,197)*(초/90/BA)(113)*(초/180/453)	(>241)*(가/90/BA),(146)*(가/180/453)		(7일탈리)*(BA)			1	0	0	0	
25-05-23_SGO453,1827,1828_내후(BA)_7일 탈리.pdf	1828	가공용(SGO453대체)1827+sv02 1.0%	2025-5-22 0:00:00	(T45)	919	(CX100/1.2%)(SV02/1.0%)	(TSR5903/10%)	(2.0)(#8)	이민지	(212,205,217,213/227,234/215,220/255,255/230,240)*(초/90/BA/항0,0.5,1,1.5,2주)+(138,163/178)*(초/180/453/항0,0.5,1주)	(>260,274/285/280/320/270)*(가/90/BA/항0,0.5,1,1.5,2주)+(///180/185>237,225/210/185/245/240)*(가/180/453/항0,0.5,1,1.5,2주)		(7일탈리)*(BA)			1	0	0	0	
25-05-23_SGO453,1827-1829_유지력(10cm to 11cm)_0min..pdf;25-05-23_SGO453,1827-1829_유지력(10cm to 11cm)_120min..pdf;25-05-23_SGO453,1827-1829_유지력(10cm to 11cm)_20min..pdf;25-05-23_SGO453,1827-1829_유지력(10cm to 11cm)_60min..pdf	1829	가공용(SGO453대체)1828+cx100 2.0%	2025-5-22 0:00:00	(T45)	919	(CX100/2.0%)(SV02/1.0%)	(TSR5903/10%)	(2.0)(#8)	이민지	(196,196)*(초/90/BA)(136)*(초/180/453)	(>263)*(가/90/BA),(160)*(가/180/453)		(7일양호)*(BA)			1	0	0	0	
25-05-23_1830,1831,1832_초기(BA)_백탁.pdf	1830	기초실험(수성이형제/경화제첨가)1814+ 상온 보관 후 배면(K-2035E 20%)	2025-5-22 0:00:00	(G75)_Z-2004+K-2035E/20%+BYK-346/25%+38.5배합	911	(CX100/0.8%)	(TSR5903/5%)	(1.2)(#12)	진호철	(295,290_오염)*(초/90/BA)+(45)*(박리력/180/양쪽당김)						0	0	0	0	
	1831	기초실험(수성이형제/경화제첨가)1814+80도 3시간 보관 후 배면(K-2035E 10%)	2025-5-22 0:00:00	(G75)_Z-2004+K-2035E/10%+BYK-346/25%+38.5배합	911	(CX100/0.8%)	(TSR5903/5%)	(1.2)(#12)	진호철	(270,270_오염)*(초/90/BA)+(55)*(박리력/180/양쪽당김)						0	0	0	0	
	1832	기초실험(수성이형제/경화제첨가)1814+80도 3시간 보관 후 배면(K-2035E 20%)	2025-5-22 0:00:00	(G75)_Z-2004+K-2035E/20%+BYK-346/25%+38.5배합	911	(CX100/0.8%)	(TSR5903/5%)	(1.2)(#12)	진호철	(265,285)*(초/90/BA)+(50)*(박리력/180/양쪽당김)						0	0	0	0	
25-05-23_1830,1831,1832_초기(BA)_백탁.pdf	1833	기초실험(수성이형제/경화제첨가)1814+80도 3시간 보관 후 배면(K-2035E 30%)	2025-5-22 0:00:00	(G75)_Z-2004+K-2035E/30%+BYK-346/25%+38.5배합	911	(CX100/0.8%)	(TSR5903/5%)	(1.2)(#12)	진호철	(275,300_오염)*(초/90/BA)+(50)*(박리력/180/양쪽당김)						0	0	0	0	
	1834	기초실험(신규레벨링제검토)910E ref.	2025-5-22 0:00:00	(T45)	910	(CX100/2.0%)(SV02/1.5%)	(SA3/0.2%)	(2.7)(#3)	박다영	(35,36)*(초/90/BA)	(>140)*(가/90/BA)					0	0	0	0	
	1835	기초실험(신규레벨링제검토)1835+BYK-346	2025-5-22 0:00:00	(T45)	910	(CX100/2.0%)(SV02/1.5%)	(BYK-346/0.2%)	(2.7)(#3)	박다영	(48,49)*(초/90/BA)	(>135)*(가/90/BA)					0	0	0	0	
	1852	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1848+SE790G 15%	2025-5-27 0:00:00	(청색T45)	911	(CX100/0.8%)	(SE790G/15%)	(2.7)(#12)	이민지	(195,195/125)*(초/90/BA,DCM4144)						0	0	0	0	
	1851	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1848+SE790G 5%	2025-5-27 0:00:00	(청색T45)	911	(CX100/0.8%)	(SE790G/5%)	(2.7)(#12)	이민지	(170,185)*(초/90/BA)						0	0	0	0	
	1838	장기물성개선용(910E/HDDA적용검토)1751+CHMA 15%	2025-5-26 0:00:00	(T45)		(CX100/2.0%)(SV02/1.5%)	(SA3/0.3%)	(3)(#3)	박다영							0	0	0	0	도포 미진행(919 점착제 자체 NG)
	1839	장기물성개선용(911E/HDDA적용검토/CS점착제)1586+TSR5903/10%	2025-5-27 0:00:00	(G75)	CS250418B	(CX100/0.2%)	(TSR5903/10%)	(1.2)(#12)	노항우	(290,280/405,405/365,340/385,400)*(초/90/BA/항0,0.5,1,1.5주)	(///>450/535/565/455)*(가/90/BA/항0,0.5,1,1.5주)					0	0	0	0	
25-05-29_1580,1692,1735,1840,1842,1847_가공성(8mm,1hr,2B)_0d.pdf;25-05-29_1580,1692,1735,1840,1842,1847_가공성(8mm,1hr,2B)_2d.pdf;25-05-29_1580,1692,1735,1840,1842,1847_가공성(8mm,1hr,2B)_4d.pdf;25-05-29_1580,1692,1735,1840,1842,1847_유지력(10cm to 10.5cm)_0min.pdf;25-05-29_1580,1692,1735,1840,1842,1847_유지력(10cm to 10.5cm)_10min.pdf;25-05-29_1580,1692,1735,1840,1842,1847_유지력(10cm to 10.5cm)_20min.pdf;25-05-29_1580,1692,1735,1840,1842,1847_유지력(10cm to 10.5cm)_60min.pdf;25-06-04_1580,1840-1843(항1주)_가열압착(BA)_탈리.pdf;25-06-09_1692,1735,1840-1843,1847(항1.5주)_가열압착(BA)_탈리.pdf;25-06-09_레이저 컷팅 요약.txt;25-06-09_SGO975BB(VN),1840,1842,1847,1873,1875_레이저컷팅(No4 1.5T,fiber).pdf	1840	레이저컷팅용 점착제 개발(911기반 MMA 4.5%)+TSR5903/7%	2025-5-27 0:00:00	(G75)	S250430D	(CX100/0.8%)	(TSR5903/7%)	(1.2)(#12)	노항우	(350,340/450,460/475,480/440,460)*(초/90/BA/항0,0.5,1,1.5주)	(///>485/565/690_탈리/670_탈리)*(가/90/BA/항0,0.5,1,1.5주)					1	0	1	0	
25-06-11_1841,1847,1930,1931,1933_유지력(10cm to 10.5cm)_0min.pdf;25-06-11_1841,1847,1930,1931,1933_유지력(10cm to 10.5cm)_10min.pdf;25-06-11_1841,1847,1930,1931,1933_유지력(10cm to 10.5cm)_20min.pdf;25-06-11_1841,1847,1930,1931,1933_유지력(10cm to 10.5cm)_5min.pdf;25-06-11_1841,1847,1930,1931,1933_유지력(10cm to 10.5cm)_60min.pdf;25-06-17_1841,1847,1930,1931,1933(항1주)_가열압착(BA)_탈리.pdf;25-06-20_1841,1847,1930,1931,1933(항1.5주)_가열압착(BA)_탈리.pdf	1841	레이저컷팅용 점착제 개발(911기반 MMA 4.5%)+TSR5903/10%	2025-5-27 0:00:00	(G75)	S250430D	(CX100/0.8%)	(TSR5903/10%)	(1.2)(#12)	노항우	(410,385,360,395,400,455/350,370/420,470,485/505,510,395,390)*(초/90/BA/항0,0.5,1,1.5주)	(///>490,610,610/545/660_탈리,710_탈리/610_탈리,595_탈리)*(가/90/BA/항0,0.5,1,1.5주)		(7일양호)*(BA)			1	0	0	0	
25-05-29_1580,1692,1735,1840,1842,1847_가공성(8mm,1hr,2B)_0d.pdf;25-05-29_1580,1692,1735,1840,1842,1847_가공성(8mm,1hr,2B)_2d.pdf;25-05-29_1580,1692,1735,1840,1842,1847_가공성(8mm,1hr,2B)_4d.pdf;25-05-29_1580,1692,1735,1840,1842,1847_유지력(10cm to 10.5cm)_0min.pdf;25-05-29_1580,1692,1735,1840,1842,1847_유지력(10cm to 10.5cm)_10min.pdf;25-05-29_1580,1692,1735,1840,1842,1847_유지력(10cm to 10.5cm)_20min.pdf;25-05-29_1580,1692,1735,1840,1842,1847_유지력(10cm to 10.5cm)_60min.pdf;25-06-09_레이저 컷팅 요약.txt;25-06-09_SGO975BB(VN),1840,1842,1847,1873,1875_레이저컷팅(No4 1.5T,fiber).pdf	1842	레이저컷팅용 점착제 개발(911기반 EMA 4.5%)+TSR5903/7%	2025-5-27 0:00:00	(G75)	S250508G	(CX100/0.8%)	(TSR5903/7%)	(1.2)(#12)	노항우	(415,395/450,460/475,475/480,515)*(초/90/BA/항0,0.5,1,1.5주)	(///>640/575_탈리/700_탈리/645_탈리)*(가/90/BA/항0,0.5,1,1.5주)					1	0	1	0	
25-06-04_1580,1840-1843(항1주)_가열압착(BA)_탈리.pdf;25-06-09_1692,1735,1840-1843,1847(항1.5주)_가열압착(BA)_탈리.pdf	1843	레이저컷팅용 점착제 개발(911기반 EMA 4.5%)+TSR5903/10%	2025-5-27 0:00:00	(G75)	S250508G	(CX100/0.8%)	(TSR5903/10%)	(1.2)(#12)	노항우	(460,460/460,485/575,540/515,550)*(초/90/BA/항0,0.5,1,1.5주)	(///>615,725/630_탈리/725_탈리/600_탈리)*(가/90/BA/항0,0.5,1,1.5주)					0	0	0	0	
	1844	가공용(SGO133B대체)1760, 원단변경	2025-5-26 0:00:00	(청색T45)	918	(CX100/2.5%)(SV02/2%)	(TSR5903/10%)	(2)(#8)	이민지	(200,205)*(초/90/BA)	(>330)*(가/90/BA),(>300)*(가/90/#4)					0	0	0	0	
	1845	장기물성개선용(910E/HDDA적용검토)918A 사양+3배합	2025-5-26 0:00:00	(T45)	918	(CX100/3.5%)(SV02/2%)	(SA3/0.3%)	(3)(#3)	박다영	(30,35)*(초/90/BA)	(>150)*(가/90/BA)					0	0	0	0	
	1846	장기물성개선용(909AC/HDDA적용검토/CS점착제)1761+4배합	2025-5-26 0:00:00	(T45)	918	(CX100/3.5%)(SV02/2%)	(SA3/0.3%)	(4)(#3)	박다영	(25,27)*(초/90/BA)	(>135)*(가/90/BA)					0	0	0	0	
25-05-29_1580,1692,1735,1840,1842,1847_가공성(8mm,1hr,2B)_0d.pdf;25-05-29_1580,1692,1735,1840,1842,1847_가공성(8mm,1hr,2B)_2d.pdf;25-05-29_1580,1692,1735,1840,1842,1847_가공성(8mm,1hr,2B)_4d.pdf;25-05-29_1580,1692,1735,1840,1842,1847_유지력(10cm to 10.5cm)_0min.pdf;25-05-29_1580,1692,1735,1840,1842,1847_유지력(10cm to 10.5cm)_10min.pdf;25-05-29_1580,1692,1735,1840,1842,1847_유지력(10cm to 10.5cm)_20min.pdf;25-05-29_1580,1692,1735,1840,1842,1847_유지력(10cm to 10.5cm)_60min.pdf;25-06-04_1580,1692,1840-1843,1847(항1주)_가열압착(BA)_탈리.pdf;25-06-09_1692,1735,1840-1843,1847(항1.5주)_가열압착(BA)_탈리.pdf;25-06-09_1847,1873(항0.5주)_가열압착(BA)_탈리.pdf;25-06-09_레이저 컷팅 요약.txt;25-06-09_SGO975BB(VN),1840,1842,1847,1873,1875_레이저컷팅(No4 1.5T,fiber).pdf;25-06-11_1841,1847,1930,1931,1933_유지력(10cm to 10.5cm)_0min.pdf;25-06-11_1841,1847,1930,1931,1933_유지력(10cm to 10.5cm)_10min.pdf;25-06-11_1841,1847,1930,1931,1933_유지력(10cm to 10.5cm)_20min.pdf;25-06-11_1841,1847,1930,1931,1933_유지력(10cm to 10.5cm)_5min.pdf;25-06-11_1841,1847,1930,1931,1933_유지력(10cm to 10.5cm)_60min.pdf;25-06-12_1847(항1주)_가열압착(BA)_탈리.pdf;25-06-16_1847,1873,1903,1905(항1.5주)_가열압착(BA)_탈리.pdf;25-06-17_1841,1847,1930,1931,1933(항1주)_가열압착(BA)_탈리.pdf;25-06-20_1841,1847,1930,1931,1933(항1.5주)_가열압착(BA)_탈리.pdf	1847	레이저컷팅용 점착제 개발(911기반 MMA 0%)+TSR5903/10%	2025-5-27 0:00:00	(G75)	S250526B	(CX100/0.8%)	(TSR5903/10%)	(1.2)(#12)	노항우	(485,430,465,470,420,400,455,460,400,425/370,420,395,425/405,480,475,475,495/490,440,465,465,450,435)*(초/90/BA/항0,0.5,1,1.5주)	(>560,480,615,565/555,625_탈리,620_탈리/685,630_탈리/640_탈리,710_탈리,605)*(가/90/BA/항0,0.5,1,1.5주)		(7일양호)*(BA)			1	0	1	0	
	1848	건축내외장재용(베트남Lixil 알루미늄 프로파일용)911E REF.	2025-5-27 0:00:00	(청색T45)	911	(CX100/0.8%)	(TSR5903/5%)	(2.7)(#12)	이민지	(265,265,256,252,310,280)*(초/90/BA)	(310,305)*(가/90/BA)	(양호)*(150도15분/BA)				0	0	0	0	
	1849	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1848+TSR1650 5%	2025-5-27 0:00:00	(청색T45)	911	(CX100/0.8%)	(TSR1650/5%)	(2.7)(#12)	이민지	(265,300)*(초/90/BA)						0	0	0	0	
	1850	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1848+TSR1650 15%	2025-5-27 0:00:00	(청색T45)	911	(CX100/0.8%)	(TSR1650/15%)	(2.7)(#12)	이민지	(280,280)*(초/90/BA)						0	0	0	0	
25-05-27_1818,1836,1837_내열60도(BA)_탈리.pdf;25-05-27_1818,1836,1837_내열80도(BA)_탈리.pdf	1836	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1819+TSR5903/5%	2025-5-26 0:00:00	(B45)	S250519H	(CX100/2%)	(TSR5903/5%)	(1.2)(#12)	박다영	(330,320)*(초/90/BA)		(오염/오염)*(80도3시간,60도1시간/BA)				0	0	0	0	
25-05-27_1818,1836,1837_내열60도(BA)_탈리.pdf;25-05-27_1818,1836,1837_내열80도(BA)_탈리.pdf	1837	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1819+TSR5903/10%	2025-5-26 0:00:00	(B45)	S250519H	(CX100/2%)	(TSR5903/10%)	(1.2)(#12)	박다영	(400,400)*(초/90/BA)		(오염/오염)*(80도3시간,60도1시간/BA)				0	0	0	0	
25-06-02_1853,1854_가열압착(BA)_탈리.pdf	1853	가공용(SGO164D대체)1763+(CHMA 12%+BA:2EHA=1:1)	2025-5-28 0:00:00	(T58)	S250527H	(CX100/1%)		(2)(#8)	박다영	(150,145/175)*(초/90/BA,DCM4144)	(>430_탈리)*(가/90/BA)					0	0	0	0	
25-06-02_1853,1854_가열압착(BA)_탈리.pdf	1854	가공용(SGO164D대체)1764+(CHMA 5%+BA:2EHA=1:1)	2025-5-28 0:00:00	(T58)	S250523G	(CX100/1%)		(2)(#8)	박다영	(110,115)*(초/90/BA)	(>370_탈리)*(가/90/BA)					0	0	0	0	
	1855	품질검증용(외면발포WPO필름평가)911S기반 기존WPO	2025-5-28 0:00:00	(WPO100)	911	(CX100/1%)(SV02/1.5%)	(TSR5903/5%)	(1.2)(#12)	노항우	(335,320)*(초/90/BA)	(>300_오염)*(가/90/BA)		(10일양호)*(BA)			0	0	0	0	
25-05-29_1856_가열압착(BA)_탈리.pdf	1856	품질검증용(외면발포WPO필름평가)911S기반 외면발포WPO	2025-5-28 0:00:00	(외면발포WPO80)	911	(CX100/1%)(SV02/1.5%)	(TSR5903/5%)	(1.2)(#12)	노항우	(245,245)*(초/90/BA)	(>465)*(가/90/BA)		(10일양호)*(BA)			0	0	0	0	
	1857	품질검증용(베트남사용B&W필름평가)913A기반 기존B&W	2025-5-28 0:00:00	(BW)	913	(CX100/1.3%)		(2.7)(#8)	노항우	(200,210)*(초/90/BA)	(>295)*(가/90/BA)					0	0	0	0	
	1858	품질검증용(베트남사용B&W필름평가)913A기반 베트남B&W	2025-5-28 0:00:00	(BW)	913	(CX100/1.3%)		(2.7)(#8)	노항우	(210,180)*(초/90/BA)	(>270)*(가/90/BA)					0	0	0	0	
25-05-30_919A,1859-1861_유지력(10cm to 10.5cm)_0min.pdf;25-05-30_919A,1859-1861_유지력(10cm to 10.5cm)_20min.pdf;25-05-30_919A,1859-1861_유지력(10cm to 10.5cm)_60min.pdf	1859	원자재 검수건(SV02원재료변경건)919A+SV02_SampleA[기존]	2025-5-28 0:00:00	(T45)	919:918=1:1	(CX100/2%)(SV02/1.5%)	(SA3/0.3%)	(3)(#3)	진호철	(29,31)*(초/90/BA)	(>75)*(가/90/BA)					1	0	0	0	
	1860	원자재 검수건(SV02원재료변경건)919A+SV02_SampleB	2025-5-28 0:00:00	(T45)	919:918=1:1	(CX100/2%)(SV02_B/1.5%)	(SA3/0.3%)	(3)(#3)	진호철	(29,35)*(초/90/BA)	(>110)*(가/90/BA)					1	0	0	0	
25-05-30_919A,1859-1861_유지력(10cm to 10.5cm)_0min.pdf;25-05-30_919A,1859-1861_유지력(10cm to 10.5cm)_20min.pdf;25-05-30_919A,1859-1861_유지력(10cm to 10.5cm)_60min.pdf	1861	원자재 검수건(SV02원재료변경건)919A+SV02_SampleC	2025-5-28 0:00:00	(T45)	919:918=1:1	(CX100/2%)(SV02_C/1.5%)	(SA3/0.3%)	(3)(#3)	진호철	(33,27)*(초/90/BA)	(>95)*(가/90/BA)					1	0	0	0	
	1862	가공용(SGO-633TH, 423TM 대체)1504+918점착제	2025-5-28 0:00:00	(SW45)	918	(CX100/2%)(SV02/2%)	(TSR5903/15%)(SA3/0.2%)	(2.7)(#4)	박다영	(130,110)*(초/90/BA)	(/>220/225)*(가/90/BA,#4)					0	0	0	0	
	1863	가공용(SGO-633TH, 423TM 대체)1862+SA3 0.3%	2025-5-28 0:00:00	(SW45)	918	(CX100/2%)(SV02/2%)	(TSR5903/15%)(SA3/0.3%)	(2.7)(#4)	박다영	(110,100)*(초/90/BA)	(/>245/185)*(가/90/BA,#4)					0	0	0	0	
	1864	가공용(SGO-633TH, 423TM 대체)1862+BYK-346	2025-5-28 0:00:00	(SW45)	918	(CX100/2%)(SV02/2%)	(TSR5903/15%)(BYK346/0.2%)	(2.7)(#4)	박다영	(135,140)*(초/90/BA)	(/>255/210)*(가/90/BA,#4)					0	0	0	0	
	1865	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1848+BMA 4.5%+NDM 0.4%	2025-5-29 0:00:00	(청색T45)	S250528A	(CX100/0.8%)	(TSR5903/5%)	(2.7)(#12)	이민지	(825, 821)*(초/90/BA)						0	0	0	0	
	1866	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1848+EMA 4.5%+NDM 0.4%	2025-5-29 0:00:00	(청색T45)	S250528B	(CX100/0.8%)	(TSR5903/5%)	(2.7)(#12)	이민지	(847,843)*(초/90/BA)						0	0	0	0	
25-06-11_423TM,633TH,1867,1892_유지력(10cm to 10.5cm)_0min..pdf;25-06-11_423TM,633TH,1867,1892_유지력(10cm to 10.5cm)_20min..pdf;25-06-11_423TM,633TH,1867,1892_유지력(10cm to 10.5cm)_60min..pdf	1867	가공용(SGO433B대체)1760, 원단 SW45	2025-5-29 0:00:00	(SW45)	918	(CX100/2.5%)(SV02/2%)	(TSR5903/10%)	(2.0)(#8)	이민지	(199,199,209,219)*(초/90/BA)						1	0	0	0	
	1868	가공용(SGO453대체)1828, 원단 SW45	2025-5-29 0:00:00	(SW45)	919	(CX100/1.2%)(SV02/1%)	(TSR5903/10%)	(2.0)(#8)	이민지	(210,201,215,205)*(초/90/BA)	(>)*(가/90/BA)					0	0	0	0	
	1869	장기물성개선용(910E/HDDA적용검토)1799+BYK-346	2025-5-29 0:00:00	(T45)	919:918=1:1	(CX100/2.0%)(SV02/1.5%)	(BYK-346/0.2%)	(3)(#3)	박다영	(34,39)*(초/90/BA)	(>105/125)*(가/90/BA,304L)					0	0	0	0	
	1870	장기물성개선용(910E/HDDA적용검토)1793+T45	2025-5-29 0:00:00	(T45)	918	(CX100/3%)		(6)(#3)	박다영	(47,45,43,48,70,60/45,45/81,92/80,70)*(초/90/BA/항0,1,2,3주)	((/)//>(110,125/105)/105/105/160/160)*(가/90/BA,304L/항0,1,1.5,2,3주)					0	0	0	0	
	1871	장기물성개선용(910E/HDDA적용검토)1794+T45	2025-5-29 0:00:00	(T45)	918	(CX100/2.5%)		(6)(#3)	박다영	(40,45)*(초/90/BA)	(>100/95)*(가/90/BA,304L)					0	0	0	0	
25-06-09_1847,1873(항0.5주)_가열압착(BA)_탈리.pdf;25-06-09_레이저 컷팅 요약.txt;25-06-09_SGO975BB(VN),1840,1842,1847,1873,1875_레이저컷팅(No4 1.5T,fiber).pdf;25-06-16_1847,1873,1903,1905(항1.5주)_가열압착(BA)_탈리.pdf	1873	레이저컷팅용 점착제 개발(911기반 MMA 0%)1847+TSR5903/5%	2025-5-29 0:00:00	(G75)	S250526B	(CX100/0.8%)	(TSR5903/5%)	(1.2)(#12)	노항우	(335,340,415,410/350,360/435,430/415,430)*(초/90/BA/항0,0.5,1,1.5주)	(/>600,435,608/615_탈리/580/665)*(가/90/BA/항0,0.5,1,1.5주)					0	0	1	0	
	1874	레이저컷팅용 점착제 개발(911기반 MMA 0%)1847+CX100/1.2%	2025-5-29 0:00:00	(G75)	S250526B	(CX100/1.2%)	(TSR5903/10%)	(1.2)(#12)	노항우	(425,415)*(초/90/BA)	(>465)*(가/90/BA)					0	0	0	0	
25-06-09_레이저 컷팅 요약.txt;25-06-09_SGO975BB(VN),1840,1842,1847,1873,1875_레이저컷팅(No4 1.5T,fiber).pdf	1875	레이저컷팅용 점착제 개발(911기반 MMA 0%)1847+CX100/1.5%	2025-5-29 0:00:00	(G75)	S250526B	(CX100/1.5%)	(TSR5903/10%)	(1.2)(#12)	노항우	(325,330)*(초/90/BA)	(>470)*(가/90/BA)					0	0	1	0	
	1876	가공용(SGO-633TH, 423TM 대체)1504+#8bar	2025-5-29 0:00:00	(SW45)	909	(CX100/2%)(SV02/2%)	(TSR5903/15%)(SA3/0.2%)	(2.7)(#8)	박다영	(230,205)*(초/90/BA)	(/>315/245)*(가/90/BA,#4)					0	0	0	0	
25-06-02_633TH,909AD,1877,1892_가공성(1h,8mm,2B)_0d.pdf;25-06-02_633TH,909AD,1877,1892_가공성(1h,8mm,2B)_2d.pdf;25-06-02_909AD,1877_내후(BA)_7일 백탁.pdf;25-06-04_633TH,909AD,1877,1892_유지력(10cm to 10.5cm)_0min.pdf;25-06-04_633TH,909AD,1877,1892_유지력(10cm to 10.5cm)_180min.pdf;25-06-04_633TH,909AD,1877,1892_유지력(10cm to 10.5cm)_20min.pdf	1877	가공용(SGO-633TH, 423TM 대체)1862+#8bar	2025-5-29 0:00:00	(SW45)	918	(CX100/2%)(SV02/2%)	(TSR5903/15%)(SA3/0.2%)	(2.7)(#8)	박다영	(190,185,165,165/215,215/220,215/250,245/250,250)*(초/90/BA/항0,1,1.5,2,2.5주)	((/)/>(280,275/240)/270/377/320/425)*(가/90/BA,#4/항0,1,1.5,2,2.5주)		(7일백탁)*(BA)			1	0	0	0	
	1878	가공용(SGO-633TH, 423TM 대체)1863+#8bar	2025-5-29 0:00:00	(SW45)	918	(CX100/2%)(SV02/2%)	(TSR5903/15%)(SA3/0.3%)	(2.7)(#8)	박다영	(165,195)*(초/90/BA)	(/>270/235)*(가/90/BA,#4)					0	0	0	0	
	1879	가공용(SGO-633TH, 423TM 대체)1877+CX100 2.5%	2025-5-29 0:00:00	(SW45)	918	(CX100/2.5%)(SV02/2%)	(TSR5903/15%)(SA3/0.2%)	(2.7)(#8)	박다영	(155,175)*(초/90/BA)	(/>265/235)*(가/90/BA,#4)					0	0	0	0	
	1880	가공용(SGO-633TH, 423TM 대체)1504+#6bar	2025-5-29 0:00:00	(SW45)	909	(CX100/2%)(SV02/2%)	(TSR5903/15%)(SA3/0.2%)	(2.7)(#6)	박다영	(205,205,145,140)*(초/90/BA)	(/>270,260/210)*(가/90/BA,#4)					0	0	0	0	
	1881	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1848+LMA 4.5%+NDM 0.4%	2025-5-30 0:00:00	(청색T45)	S250529A	(CX100/0.8%)	(TSR5903/5%)	(2.7)(#12)	이민지	(256,252,254,268)*(초/90/BA)						0	0	0	0	
	1882	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1848+IBOA 4.5%+NDM 0.4%	2025-5-30 0:00:00	(청색T45)	S250529B	(CX100/0.8%)	(TSR5903/5%)	(2.7)(#12)	이민지	(564,580)*(초/90/BA)						0	0	0	0	
	1883	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1865+2-EHA 94.2%	2025-5-30 0:00:00	(청색T45)	S250529C	(CX100/0.8%)	(TSR5903/5%)	(2.7)(#12)	이민지	(779,783)*(초/90/BA)						0	0	0	0	
	1884	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1866+2-EHA 94.2%	2025-5-30 0:00:00	(청색T45)	S250529D	(CX100/0.8%)	(TSR5903/5%)	(2.7)(#12)	이민지	(270,231)*(초/90/BA)						0	0	0	0	
	1885	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1848+부모노머 0%	2025-5-30 0:00:00	(청색T45)	S250529E	(CX100/0.8%)	(TSR5903/5%)	(2.7)(#12)	이민지	(291,368)*(초/90/BA)						0	0	0	0	
	1886	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1866+NDM 0%	2025-5-30 0:00:00	(청색T45)	S250529F	(CX100/0.8%)	(TSR5903/5%)	(2.7)(#12)	이민지	(379,364)*(초/90/BA)						0	0	0	0	
	1887	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1886+AA 0%+2-HEMA 2%	2025-5-30 0:00:00	(청색T45)	S250529G	(CX100/0.8%)	(TSR5903/5%)	(2.7)(#12)	이민지	(205,213)*(초/90/BA)						0	0	0	0	
	1888	건축내외장재용(베트남Lixil 알루미늄 프로파일용)1886+AA 1.3%+2-HEMA 2%	2025-5-30 0:00:00	(청색T45)	S250529H	(CX100/0.8%)	(TSR5903/5%)	(2.7)(#12)	이민지	(275,281)*(초/90/BA)						0	0	0	0	
